lam,x_i,x_f,seed,best,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
0.7,0,0,42,Y,4.2898998344863393e-01,-2.7821158276063873e-01,5.1130625918468764e-01,1.313406e-05,6.052879e-05,0.999912,1.3532193644232056e+00,-9.9086875571381927e-01,1.6772070651233846e+00,1.709613e-01,6.958484e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,588.0
0.7,0,0,45,N,4.3013981718821531e-01,-2.5685719431962134e-01,5.0099489079676152e-01,1.345585e-05,7.881822e-05,0.999935,1.3532193644232056e+00,-9.9086875571381927e-01,1.6772070651233846e+00,1.709613e-01,7.031586e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,601.7
0.7,0,0,99,N,-4.4151599763019117e-01,2.9396443292174268e-01,5.3042573842752461e-01,1.702725e-05,1.483966e-04,0.999915,1.3532193644232056e+00,-9.9086875571381927e-01,1.6772070651233846e+00,1.709613e-01,1.316016e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,594.2
0.8,0,0,42,Y,4.0284725419550965e-01,-7.8836044366930855e-02,4.1048877220246388e-01,1.322406e-05,1.054128e-04,0.999885,4.2596505771311816e-01,-1.5436236155310332e+00,1.6013182372088437e+00,1.461135e-01,9.148525e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,582.9
0.8,0,0,45,N,-4.3286965517554032e-01,5.3639272718551378e-01,6.8927011842187402e-01,8.535161e-05,1.689891e-03,0.998469,4.2596505771311816e-01,-1.5436236155310332e+00,1.6013182372088437e+00,1.461135e-01,1.405310e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,584.6
0.8,0,0,99,N,-4.4345781507743054e-01,2.6844629637560219e-01,5.1838040837885280e-01,1.851982e-05,1.557268e-04,0.999895,4.2596505771311816e-01,-1.5436236155310332e+00,1.6013182372088437e+00,1.461135e-01,1.255122e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,570.0
0.9,0,0,42,N,3.4111336882891768e-01,-2.4422497578818766e-01,4.1952850820004361e-01,2.595825e-05,4.467309e-04,0.999597,-4.0514151442559299e-01,-1.2240903144032316e+00,1.2893939446603839e+00,1.238975e-01,9.552385e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,572.0
0.9,0,0,45,N,-4.9939487189447124e-01,5.2484233583036255e-01,7.2446857458026870e-01,5.098524e-05,5.883164e-04,0.999534,-4.0514151442559299e-01,-1.2240903144032316e+00,1.2893939446603839e+00,1.238975e-01,1.358367e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,566.6
0.9,0,0,99,Y,-4.4753086447989759e-01,2.9832506513970053e-01,5.3784916022313456e-01,2.099210e-05,2.008685e-04,0.999876,-4.0514151442559299e-01,-1.2240903144032316e+00,1.2893939446603839e+00,1.238975e-01,1.181179e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,587.9
1,0,0,42,N,2.0533890624311169e+00,3.3871722263567416e-01,2.0811381498165291e+00,7.688850e-04,1.317710e-02,0.986498,-7.5384195005925525e-01,-5.7093562990802893e-01,9.4564537706669860e-01,1.050461e-01,3.120551e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,584.3
1,0,0,45,Y,3.8875603774941736e-01,-1.8253668829335357e-01,4.2947747258701630e-01,1.370807e-05,1.005259e-04,0.999907,-7.5384195005925525e-01,-5.7093562990802893e-01,9.4564537706669860e-01,1.050461e-01,1.276173e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,594.3
1,0,0,99,N,-3.9580043246682078e-01,1.6185105293874028e-01,4.2761401482914618e-01,1.590449e-05,1.784297e-04,0.999886,-7.5384195005925525e-01,-5.7093562990802893e-01,9.4564537706669860e-01,1.050461e-01,8.624582e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,571.5
1.1,0,0,42,N,7.1890564638125198e-01,-1.0684259820151711e+00,1.2877730418998250e+00,3.524424e-04,7.429757e-03,0.992539,-7.0037773908069367e-01,4.8437127047911623e-02,7.0205066247133463e-01,8.940624e-02,2.572508e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,569.3
1.1,0,0,45,N,4.5822044077181967e-01,-5.6674443619317372e-01,7.2881083162713700e-01,5.529448e-05,8.671897e-04,0.999447,-7.0037773908069367e-01,4.8437127047911623e-02,7.0205066247133463e-01,8.940624e-02,1.868515e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,577.8
1.1,0,0,99,Y,4.3364537005112980e-01,-2.4772389970912573e-01,4.9941509534041750e-01,1.947085e-05,1.988075e-04,0.999871,-7.0037773908069367e-01,4.8437127047911623e-02,7.0205066247133463e-01,8.940624e-02,1.669478e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,567.6
2,0,0,42,Y,-2.7992729188315019e-01,1.2574003548159257e-01,3.0687105641286294e-01,1.475472e-05,2.605253e-04,0.999763,1.5801800383909133e+00,1.6352624015679490e-01,1.5886188293448260e+00,2.656169e-02,1.171138e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,571.7
2,0,0,45,N,-3.3105506082549152e-01,5.0014672478682902e-02,3.3481176914995059e-01,1.462400e-05,4.040668e-04,0.999801,1.5801800383909133e+00,1.6352624015679490e-01,1.5886188293448260e+00,2.656169e-02,1.205200e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,567.6
2,0,0,99,N,-4.1630155072723551e-01,1.3287502594477130e-01,4.3699285309684949e-01,2.509160e-05,2.962893e-04,0.999701,1.5801800383909133e+00,1.6352624015679490e-01,1.5886188293448260e+00,2.656169e-02,1.256889e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,559.8
3,0,0,42,Y,4.4467422076545332e-01,-2.8806377427037932e-01,5.2982629291142125e-01,4.128381e-05,5.404146e-04,0.999316,1.5514593670298285e+00,-9.3206174497467942e-01,1.8099075291267894e+00,9.719053e-03,7.075004e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,569.0
3,0,0,45,N,2.9923569080071416e-01,-1.0980675782124107e-01,3.1874680031679264e-01,2.068125e-05,6.845415e-04,0.999557,1.5514593670298285e+00,-9.3206174497467942e-01,1.8099075291267894e+00,9.719053e-03,8.276967e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,561.2
3,0,0,99,N,9.7432581904182847e-01,-3.1801410699635921e+00,3.3260499134139150e+00,5.000302e-04,2.425782e-03,0.997823,1.5514593670298285e+00,-9.3206174497467942e-01,1.8099075291267894e+00,9.719053e-03,1.282374e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,577.5
4,0,0,42,Y,8.9165534081367764e-02,-1.2134322732285141e-01,1.5058111198002475e-01,8.529842e-06,2.982808e-04,0.999668,1.0037713308814749e+00,-1.3569919221159428e+00,1.6878933501224207e+00,5.321470e-02,9.107880e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,637.5
4,0,0,45,N,1.9000375138431388e-01,-7.5393716807126004e-02,2.0441535674724948e-01,1.279146e-05,4.814951e-04,0.999621,1.0037713308814749e+00,-1.3569919221159428e+00,1.6878933501224207e+00,5.321470e-02,8.994216e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,613.7
4,0,0,99,N,-1.1402589614669849e-01,-1.3241838403916870e-01,1.7474705555059414e-01,2.112021e-05,1.244118e-03,0.998658,1.0037713308814749e+00,-1.3569919221159428e+00,1.6878933501224207e+00,5.321470e-02,9.823051e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,572.2
8,0,0,42,N,1.7679566077806061e-01,-1.1373392077497646e-01,2.1021919609017561e-01,3.632534e-05,2.966937e-03,0.996943,-2.7989609135422694e-01,-1.2173547994394316e+00,1.2491175003471822e+00,1.808374e-01,9.561800e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,566.1
8,0,0,45,Y,2.8774808947310365e-01,4.7333387016382435e-02,2.9161517882624682e-01,2.204445e-05,6.109386e-04,0.999402,-2.7989609135422694e-01,-1.2173547994394316e+00,1.2491175003471822e+00,1.808374e-01,1.109774e+00,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,562.9
8,0,0,99,N,-7.2729668710166312e-02,-2.2652105036295911e-01,2.3791046838722504e-01,4.386161e-05,3.086975e-03,0.996692,-2.7989609135422694e-01,-1.2173547994394316e+00,1.2491175003471822e+00,1.808374e-01,8.103798e-01,4.1836667621661972e-01,-4.1836667621661966e-01,16,1.0,1.0,2.0,0.01,8,15000,597.0
