lam,x_i,x_f,seed,best,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
1,0,0,99,N,-2.95E+25,-1.35E+25,3.25E+25,inf,3.22E+03,0.00014,-2.30E-01,-1.14E+00,1.17E+00,1.48E-01,2.78E+25,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
1.1,0,0,42,Y,1.23E+26,1.50E+26,1.94E+26,inf,2.83E+03,0.0001,-7.08E-01,-1.28E-01,7.20E-01,1.32E-01,2.69E+26,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
1.1,0,0,45,N,nan,nan,nan,nan,3.57E+03,0.000099,-7.08E-01,-1.28E-01,7.20E-01,1.32E-01,nan,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.5
1.1,0,0,99,N,-3.05E+25,8.79E+23,3.05E+25,inf,3.21E+03,0.000132,-7.08E-01,-1.28E-01,7.20E-01,1.32E-01,4.24E+25,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.5
2,0,0,42,Y,2.22E+26,5.01E+25,2.28E+26,inf,2.81E+03,0.000101,-4.00E-01,-1.16E+00,1.23E+00,4.70E-02,1.86E+26,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
2,0,0,45,N,nan,nan,nan,nan,3.54E+03,0.000101,-4.00E-01,-1.16E+00,1.23E+00,4.70E-02,nan,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
2,0,0,99,N,5.30E+25,3.44E+25,6.32E+25,inf,3.19E+03,0.00014,-4.00E-01,-1.16E+00,1.23E+00,4.70E-02,5.16E+25,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
3,0,0,42,Y,2.19E+25,-6.53E+26,6.54E+26,inf,2.78E+03,0.000104,4.79E-03,8.22E-01,8.22E-01,2.92E-02,7.95E+26,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
3,0,0,45,N,4.52E+36,1.40E+36,4.73E+36,4.73E+36,3.52E+03,0.000104,4.79E-03,8.22E-01,8.22E-01,2.92E-02,5.76E+36,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
3,0,0,99,N,-1.40E+24,-1.13E+24,1.79E+24,inf,3.16E+03,0.000134,4.79E-03,8.22E-01,8.22E-01,2.92E-02,2.18E+24,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
4,0,0,42,Y,-6.52E+26,-7.83E+26,1.02E+27,inf,2.76E+03,0.000098,1.19E+00,4.97E-01,1.29E+00,4.96E-02,7.88E+26,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
4,0,0,45,N,-1.08E+36,-2.98E+36,3.17E+36,3.17E+36,3.49E+03,0.000105,1.19E+00,4.97E-01,1.29E+00,4.96E-02,2.45E+36,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
4,0,0,99,N,9.41E+25,4.96E+25,1.06E+26,inf,3.14E+03,0.000074,1.19E+00,4.97E-01,1.29E+00,4.96E-02,8.23E+25,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.7
8,0,0,42,Y,4.88E+27,-3.22E+27,5.84E+27,inf,2.68E+03,0.000088,1.45E+00,-6.53E-01,1.59E+00,1.66E-01,3.67E+27,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
8,0,0,45,N,-1.31E+35,-6.52E+34,1.46E+35,1.46E+35,3.40E+03,0.000106,1.45E+00,-6.53E-01,1.59E+00,1.66E-01,9.20E+34,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
8,0,0,99,N,-3.10E+24,2.05E+24,3.72E+24,inf,3.03E+03,0.000099,1.45E+00,-6.53E-01,1.59E+00,1.66E-01,2.34E+24,3.08E-01,-3.08E-01,16,1,1,1,0.0001,8,15,0.4
