lam,x_i,x_f,seed,best,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
1,0.5,0,42,N,6.92E-01,-1.15E+00,1.34E+00,1.54E-04,1.30E-03,0.998688,1.19E+00,-2.19E-01,1.21E+00,6.78E-02,8.76E-01,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,669.6
1,0.5,0,45,Y,3.83E-01,-3.30E-01,5.05E-01,2.21E-05,2.66E-04,0.999808,1.19E+00,-2.19E-01,1.21E+00,6.78E-02,6.73E-01,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,663.9
1,0.5,0,99,N,-3.53E-01,2.01E-01,4.06E-01,1.95E-05,3.59E-04,0.999782,1.19E+00,-2.19E-01,1.21E+00,6.78E-02,1.32E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,666.8
1.1,0.5,0,42,N,-2.37E-01,-7.97E-01,8.32E-01,1.22E-04,2.03E-03,0.997783,1.39E+00,-6.15E-01,1.52E+00,6.80E-02,1.08E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,667.6
1.1,0.5,0,45,Y,-3.35E-01,3.15E-01,4.60E-01,2.05E-05,2.22E-04,0.999817,1.39E+00,-6.15E-01,1.52E+00,6.80E-02,1.29E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,682.7
1.1,0.5,0,99,N,-5.43E-01,6.71E-01,8.63E-01,3.87E-04,1.97E-02,0.980321,1.39E+00,-6.15E-01,1.52E+00,6.80E-02,1.53E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,672.5
2,0.5,0,42,N,-2.13E+03,6.33E+03,6.68E+03,6.71E-01,9.02E-04,0.998814,-4.30E-01,-1.32E+00,1.39E+00,3.49E-02,4.81E+03,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,670.1
2,0.5,0,45,Y,1.15E-01,-1.95E-01,2.26E-01,1.59E-05,5.50E-04,0.999525,-4.30E-01,-1.32E+00,1.39E+00,3.49E-02,9.01E-01,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,664.9
2,0.5,0,99,N,-1.04E+03,2.96E+02,1.08E+03,2.74E-01,3.07E-03,0.996587,-4.30E-01,-1.32E+00,1.39E+00,3.49E-02,7.79E+02,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,673
3,0.5,0,42,N,1.10E+00,-2.94E+00,3.14E+00,7.93E-03,6.49E-01,0.611533,-4.32E-01,-3.24E-01,5.40E-01,1.70E-02,5.60E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,674.8
3,0.5,0,45,Y,3.83E-01,-2.24E-01,4.44E-01,4.47E-05,1.06E-03,0.999003,-4.32E-01,-3.24E-01,5.40E-01,1.70E-02,1.52E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,674.3
3,0.5,0,99,N,-6.49E+00,1.27E+01,1.42E+01,1.70E-02,4.27E-02,0.894656,-4.32E-01,-3.24E-01,5.40E-01,1.70E-02,2.65E+01,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,668.8
4,0.5,0,42,N,-1.44E+00,-5.00E-01,1.52E+00,2.63E-04,3.15E-03,0.996791,1.08E-01,-8.69E-02,1.39E-01,5.99E-02,1.15E+01,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,676.6
4,0.5,0,45,Y,4.22E-01,-9.50E-02,4.32E-01,4.88E-05,1.27E-03,0.998698,1.08E-01,-8.69E-02,1.39E-01,5.99E-02,2.26E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,667.6
4,0.5,0,99,N,2.14E-01,2.08E-01,2.98E-01,3.84E-05,2.41E-03,0.998362,1.08E-01,-8.69E-02,1.39E-01,5.99E-02,2.26E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,672.5
8,0.5,0,42,N,1.54E+00,9.24E-01,1.80E+00,9.69E-04,3.00E-02,0.971819,-1.36E-01,-3.01E-01,3.30E-01,1.66E-01,6.29E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,676.4
8,0.5,0,45,N,1.37E+05,6.87E+04,1.54E+05,2.83E+01,3.79E-03,0.998174,-1.36E-01,-3.01E-01,3.30E-01,1.66E-01,4.65E+05,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,675.7
8,0.5,0,99,Y,3.13E-01,5.13E-02,3.17E-01,4.37E-05,1.82E-03,0.99799,-1.36E-01,-3.01E-01,3.30E-01,1.66E-01,1.73E+00,3.68E-01,-4.63E-01,16,1,1,2,0.01,8,15000,669.6
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Dont think end point symettry works here! ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"simply impliment a test set seperate to the training set, make the test set the same size as the taining set. 

Then just apply all the stats/graphs/charts et to the test set instead of the current training set",,"Dont think end point symettry works here! 

A) I should probably check with a train and test set just one one lambda. 

B) is there a way to measure the error in the caluations? What is the standard error in he csv quantity measuring?

The variance in the arrows? Yes i think so. 

Could actually get an error bound on the propogator?

C) Chuck Ross's method AND / OR normalising flows at it and see if gets better variances scores / nails it. Still will have validaton issues but can compare methods.

D) TRy AI for more sanity checks - but might need to ask JEFF

as it want to know is it going the right way for larger lambda, larger times , diff start end points etc? 

But cos its going up and down the valley maybe its not possible to do this?

Want matches numerical approx for low lambda

 low variance, passes physical intuition 


",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,A) I should probably check with a train and test set just one one lambda. ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,B) is there a way to measure the error in the caluations? What is the standard error in he csv quantity measuring?,,,,,,,,,,,,,,,,,,,,,,,,
