lam,x_i,x_f,seed,best,K_ml_re,K_ml_im,abs_K_ml,std_err,final_loss,ess_n,K_basis_re,K_basis_im,abs_K_basis,K_basis_unc,rel_diff_ml_basis,K_mehler_re,K_mehler_im,N,T,m,omega,eps,rank,epochs,time_s
0.9,0,0,99,N,1.11E+25,2.24E+25,2.50E+25,inf,3.18E+03,0.000124,-4.05E-01,-1.22E+00,1.29E+00,1.24E-01,1.94E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
1,0,0,42,Y,1.46E+26,-7.01E+25,1.62E+26,inf,2.80E+03,0.0001,-7.54E-01,-5.71E-01,9.46E-01,1.05E-01,1.71E+26,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
1,0,0,45,N,nan,nan,nan,nan,3.53E+03,0.000098,-7.54E-01,-5.71E-01,9.46E-01,1.05E-01,nan,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
1,0,0,99,N,2.15E+25,1.98E+25,2.92E+25,inf,3.18E+03,0.000123,-7.54E-01,-5.71E-01,9.46E-01,1.05E-01,3.09E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
1.1,0,0,42,Y,1.45E+26,-7.80E+25,1.65E+26,inf,2.80E+03,0.0001,-7.00E-01,4.84E-02,7.02E-01,8.94E-02,2.34E+26,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
1.1,0,0,45,N,nan,nan,nan,nan,3.53E+03,0.000098,-7.00E-01,4.84E-02,7.02E-01,8.94E-02,nan,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
1.1,0,0,99,N,3.08E+25,1.44E+25,3.41E+25,inf,3.18E+03,0.000123,-7.00E-01,4.84E-02,7.02E-01,8.94E-02,4.85E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
2,0,0,42,Y,-1.08E+26,-2.29E+26,2.53E+26,inf,2.78E+03,0.0001,1.58E+00,1.64E-01,1.59E+00,2.66E-02,1.59E+26,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
2,0,0,45,N,nan,nan,nan,nan,3.51E+03,0.000102,1.58E+00,1.64E-01,1.59E+00,2.66E-02,nan,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
2,0,0,99,N,-2.49E+24,-9.12E+25,9.12E+25,inf,3.16E+03,0.000185,1.58E+00,1.64E-01,1.59E+00,2.66E-02,5.74E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
3,0,0,42,Y,-5.90E+26,-3.32E+25,5.91E+26,inf,2.75E+03,0.000101,1.55E+00,-9.32E-01,1.81E+00,9.72E-03,3.27E+26,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
3,0,0,45,N,-9.81E+35,-3.97E+36,4.09E+36,4.09E+36,3.48E+03,0.000104,1.55E+00,-9.32E-01,1.81E+00,9.72E-03,2.26E+36,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
3,0,0,99,N,2.59E+25,-2.35E+25,3.50E+25,inf,3.13E+03,0.000066,1.55E+00,-9.32E-01,1.81E+00,9.72E-03,1.93E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.7
4,0,0,42,Y,-7.19E+26,5.09E+26,8.81E+26,inf,2.73E+03,0.000096,1.00E+00,-1.36E+00,1.69E+00,5.32E-02,5.22E+26,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
4,0,0,45,N,-1.75E+36,2.22E+36,2.83E+36,2.82E+36,3.45E+03,0.000104,1.00E+00,-1.36E+00,1.69E+00,5.32E-02,1.67E+36,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
4,0,0,99,N,2.18E+25,-6.64E+25,6.98E+25,inf,3.10E+03,0.000026,1.00E+00,-1.36E+00,1.69E+00,5.32E-02,4.14E+25,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
8,0,0,42,Y,-1.33E+27,-7.28E+27,7.40E+27,inf,2.66E+03,0.0001,-2.80E-01,-1.22E+00,1.25E+00,1.81E-01,5.93E+27,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
8,0,0,45,N,-2.38E+34,1.60E+35,1.62E+35,1.62E+35,3.37E+03,0.000195,-2.80E-01,-1.22E+00,1.25E+00,1.81E-01,1.29E+35,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.5
8,0,0,99,N,2.16E+24,-2.37E+24,3.21E+24,inf,3.00E+03,0.000101,-2.80E-01,-1.22E+00,1.25E+00,1.81E-01,2.57E+24,4.18E-01,-4.18E-01,16,1,1,2,0.01,8,15,0.6
