seed,T,lam,chain_dir,warm_from_T,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,m,omega,eps,rank,x_i,x_f,time_s,weight_file
99,2.1000,0.1000,up,1.0000,4.5498841281964514e-01,6.2757601305345700e-01,7.7515553791494818e-01,6.341193e-05,5.606988e-04,0.999344,4.2732420279356798e-01,4.2732420279356792e-01,12000,16,1.0,2,0.01,16,0,0,901.5,warm_start_weights\Tscan_seed99_T2.1000_lam0.1000.pt
99,2.7000,0.1000,up,2.1000,4.5031213152724819e-01,4.1645505945935452e-01,6.1336435529781819e-01,4.248138e-05,5.191189e-04,0.999495,4.5382298486198630e-01,4.5382298486198630e-01,12000,16,1.0,2,0.01,16,0,0,860.4,warm_start_weights\Tscan_seed99_T2.7000_lam0.1000.pt
99,3.6000,0.1000,up,2.7000,-1.0771114426782849e-01,3.5793418327472920e-01,3.7378947304068422e-01,4.480359e-05,1.477416e-03,0.998606,4.4780678331914403e-01,-4.4780678331914403e-01,12000,16,1.0,2,0.01,16,0,0,870.5,warm_start_weights\Tscan_seed99_T3.6000_lam0.1000.pt
99,4.3000,0.1000,up,3.6000,8.9552472211711187e-01,-3.0783632995300572e+00,3.2059764708769323e+00,1.431466e-03,1.927144e-02,0.980180,4.6552669474670993e-01,-4.6552669474670988e-01,12000,16,1.0,2,0.01,16,0,0,865.2,warm_start_weights\Tscan_seed99_T4.3000_lam0.1000.pt
99,5.3000,0.1000,up,4.3000,6.2929264517838334e+01,2.4458140065480740e+00,6.2976776187025429e+01,4.407836e-01,1.898859e-01,0.103145,4.1530011999996747e-01,4.1530011999996747e-01,12000,16,1.0,2,0.01,16,0,0,871.2,warm_start_weights\Tscan_seed99_T5.3000_lam0.1000.pt
99,5.9000,0.1000,up,5.3000,-8.2081193680596215e+01,-5.7169823712559854e+01,1.0002855142086543e+02,2.662554e-01,3.841442e-01,0.733043,4.7904794199857692e-01,4.7904794199857698e-01,12000,16,1.0,2,0.01,16,0,0,865.1,warm_start_weights\Tscan_seed99_T5.9000_lam0.1000.pt
99,6.7000,0.1000,up,5.9000,4.6397405938932152e+00,-1.1096155045236946e+01,1.2027129731010550e+01,2.078331e-02,3.044146e-01,0.767301,4.6364323989756440e-01,-4.6364323989756440e-01,12000,16,1.0,2,0.01,16,0,0,948.1,warm_start_weights\Tscan_seed99_T6.7000_lam0.1000.pt
99,8.5000,0.1000,up,6.7000,1.9385813222640800e+00,5.4155029467612170e-01,2.0128025895986279e+00,1.318174e-03,3.039432e-02,0.960204,4.0687272109459860e-01,4.0687272109459854e-01,12000,16,1.0,2,0.01,16,0,0,861.5,warm_start_weights\Tscan_seed99_T8.5000_lam0.1000.pt
99,9.8000,0.1000,up,8.5000,-6.6592708301570849e+02,9.1658012140079290e+02,1.1329510134339007e+03,1.179062e+00,6.355292e-02,0.948407,4.8309157336122438e-01,-4.8309157336122438e-01,12000,16,1.0,2,0.01,16,0,0,860.2,warm_start_weights\Tscan_seed99_T9.8000_lam0.1000.pt
99,10.6000,0.1000,up,9.8000,1.2106543354876415e+02,-8.3553104538149375e+02,8.4425645807221508e+02,2.769603e-01,1.079752e-02,0.989535,4.7307067959526306e-01,-4.7307067959526306e-01,12000,16,1.0,2,0.01,16,0,0,855.2,warm_start_weights\Tscan_seed99_T10.6000_lam0.1000.pt
