lam,K_re,K_im,abs_K,unc
4,6.8659821201377058e-01,-7.2671616417155649e-01,9.9976671679383644e-01,3.0389353747676268e-01
4.1,6.0492176921638730e-01,-7.0512755312295905e-01,9.2905070531433087e-01,2.2206216809113372e-01
4.2,7.5133591497611008e-01,-6.7757944681387516e-01,1.0117408580647445e+00,3.5863737532486034e-01
4.3,7.8557489292648008e-01,-8.9994676437630772e-01,1.1945844847091545e+00,4.9300076360917999e-01
4.4,5.8731571491681778e-01,-1.0116974621862560e+00,1.1698168677115079e+00,4.3045563329943515e-01
4.5,8.6178130610008286e-01,-9.5443366336382596e-01,1.2859279285036380e+00,5.5956330470345361e-01
4.6,8.3932167624902110e-01,-7.2660104429577976e-01,1.1101396100460448e+00,4.2434874439223097e-01
4.7,6.3518430597491982e-01,-8.4761231889508681e-01,1.0592005219501863e+00,3.1851591073622343e-01
4.8,7.3089357937281707e-01,-8.2829865344607767e-01,1.1046646928679280e+00,3.9264456641294160e-01
4.9,7.5673039953618049e-01,-6.9777750069579436e-01,1.0293368438268673e+00,3.6531568709085016e-01
5,7.3365805359595604e-01,-1.0570873150111024e+00,1.2867352995715895e+00,5.5489983180326996e-01
5.1,6.1550518947685873e-01,-1.1152721578842886e+00,1.2738440345759843e+00,5.2072983638281145e-01
5.2,7.1235330465859037e-01,-1.0800497251393688e+00,1.2938139895022160e+00,4.9737479581181382e-01
5.3,6.9366808560651050e-01,-7.5675938315283020e-01,1.0265769220953942e+00,2.1495404791487827e-01
5.4,6.7617098658018349e-01,-9.2550754044778061e-01,1.1461986784665732e+00,3.2564069446167265e-01
5.5,6.6063899959030281e-01,-1.0236159286413087e+00,1.2182912037554423e+00,4.4773495352732828e-01
5.6,6.3486856447837614e-01,-1.0166740590051617e+00,1.1986176356189930e+00,4.3755121444596212e-01
5.7,6.2165731409625447e-01,-9.1334288036118028e-01,1.1048316764447996e+00,3.4338379798989116e-01
5.8,6.0557131572537060e-01,-8.9805472787350893e-01,1.0831523035498372e+00,3.2817872494776190e-01
5.9,5.8929600140323735e-01,-1.1443940990932819e+00,1.2872092414636280e+00,5.5218775909931572e-01
6,5.7323429510559831e-01,-1.1965799290884853e+00,1.3268010716692298e+00,5.6820303880751644e-01
6.1,5.5864200137326447e-01,-1.2042204576217115e+00,1.3274892829145442e+00,5.5414483431770678e-01
6.2,5.4425731346481143e-01,-1.1710291897178893e+00,1.2913269866425274e+00,5.5131669461136479e-01
6.3,5.2991709496388417e-01,-9.7678436925146839e-01,1.1112694684679099e+00,3.4152693588987532e-01
6.4,5.1637787740505636e-01,-9.8400472560753949e-01,1.1112656803354095e+00,3.2649510946019056e-01
6.5,5.0268482140930870e-01,-1.3206554211535286e+00,1.4130897958365960e+00,6.3860131513573892e-01
6.6,4.8958184939514715e-01,-1.3174354081638020e+00,1.4054630702871194e+00,6.2232407648073185e-01
6.7,4.7495341150603226e-01,-1.3186576967941932e+00,1.4015844121621019e+00,6.2482813275732885e-01
6.8,4.6234831060191606e-01,-1.3234647714265613e+00,1.4019004820327319e+00,6.2916745051266154e-01
6.9,4.4946276560886966e-01,-1.0846800585169247e+00,1.1741156702016429e+00,4.0016815824739083e-01
7,4.3612149071562839e-01,-9.4505241521771421e-01,1.0408294875592528e+00,2.7525278924072855e-01
7.1,4.2318370287010953e-01,-1.0991849265623124e+00,1.1778335829635072e+00,4.4157955392635406e-01
7.2,4.1002884455919386e-01,-1.2107553598800804e+00,1.2783005103843503e+00,5.5787024394201012e-01
7.3,3.9552779702722440e-01,-1.2396270901555093e+00,1.3011985094014766e+00,5.5205237465128709e-01
7.4,4.5729891343198237e-01,-1.2484612153834491e+00,1.3295780167191358e+00,5.5578476137284416e-01
7.5,3.9061754833110562e-01,-1.2524198980173105e+00,1.3119213657890834e+00,5.5139839205620900e-01
7.6,3.7386376069186134e-01,-1.2450733874950997e+00,1.2999930199071008e+00,5.6298466569433137e-01
7.7,3.6310307316913853e-01,-1.2198917012800850e+00,1.2727841940395446e+00,5.5733971260150572e-01
7.8,3.5297361647533160e-01,-1.1375996552931518e+00,1.1911017377414794e+00,4.5816396428514433e-01
7.9,3.4208543189292517e-01,-1.0224397722958360e+00,1.0781491226568476e+00,3.2421592902579321e-01
8,3.3306606866783128e-01,-1.3119619628510524e+00,1.3535794022021133e+00,5.9490562525747659e-01
