seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file,xf_from_filename,source_csv
45,1,0.1,Y,0,4.3460688256739138e-01,1.0065891264325004e-01,4.4611137518501787e-01,1.987510e-05,1.527774e-04,0.999803,4.2642054565481596e-01,8.5466213641724520e-02,9000,16,1,1.0,1,0.01,16,0,1.75,172.8,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf1.75.pt,1.75,warm_start_scan_xi0_xf1.75.csv
42,0,0,N,,3.6578573386732222e-01,2.2927707555211072e-01,4.3170265284635878e-01,2.860028e-09,5.016161e-12,1.000000,3.8191422872612762e-01,2.0803960518932668e-01,15000,16,1,1.0,1,0.01,16,0,2,290.5,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf2.0.pt,2.0,warm_start_scan_xi0_xf2.0.csv
42,1,0.1,Y,0,3.8190066967500763e-01,2.3434022872556401e-01,4.4806636148830559e-01,2.366977e-05,1.927047e-04,0.999728,3.8191422872612762e-01,2.0803960518932668e-01,9000,16,1,1.0,1,0.01,16,0,2,171.1,warm_start_weights_vary_end_points/seed42_step01_lam0.1000_xi0_xf2.0.pt,2.0,warm_start_scan_xi0_xf2.0.csv
45,0,0,N,,-3.6582722096185405e-01,-2.2927284800934744e-01,4.3173556076722536e-01,3.481380e-09,6.631547e-12,1.000000,3.8191422872612762e-01,2.0803960518932668e-01,15000,16,1,1.0,1,0.01,16,0,2,288.1,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf2.0.pt,2.0,warm_start_scan_xi0_xf2.0.csv
45,1,0.1,Y,0,-3.9792526184118343e-01,-2.1222989313476107e-01,4.5098341604915637e-01,2.295490e-05,2.018357e-04,0.999743,3.8191422872612762e-01,2.0803960518932668e-01,9000,16,1,1.0,1,0.01,16,0,2,172.7,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf2.0.pt,2.0,warm_start_scan_xi0_xf2.0.csv
42,0,0,N,,-2.6182590163076047e-01,-3.4231766422469845e-01,4.3096889215465894e-01,3.678129e-09,8.551783e-12,1.000000,2.9031308968880348e-01,3.2381671572997067e-01,15000,16,1,1.0,1,0.01,16,0,2.25,286.7,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf2.25.pt,2.25,warm_start_scan_xi0_xf2.25.csv
42,1,0.1,Y,0,-3.0138152588852524e-01,-3.3986317075122330e-01,4.5424420632515611e-01,2.776592e-05,2.890667e-04,0.999658,2.9031308968880348e-01,3.2381671572997067e-01,9000,16,1,1.0,1,0.01,16,0,2.25,171.1,warm_start_weights_vary_end_points/seed42_step01_lam0.1000_xi0_xf2.25.pt,2.25,warm_start_scan_xi0_xf2.25.csv
45,0,0,N,,2.6201380841069638e-01,3.4208179058480581e-01,4.3089579627513663e-01,3.165687e-09,6.581334e-12,1.000000,2.9031308968880348e-01,3.2381671572997067e-01,15000,16,1,1.0,1,0.01,16,0,2.25,289.0,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf2.25.pt,2.25,warm_start_scan_xi0_xf2.25.csv
45,1,0.1,Y,0,3.0497355800983300e-01,3.3284768715365298e-01,4.5143820610213425e-01,2.594518e-05,2.549015e-04,0.999672,2.9031308968880348e-01,3.2381671572997067e-01,9000,16,1,1.0,1,0.01,16,0,2.25,169.5,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf2.25.pt,2.25,warm_start_scan_xi0_xf2.25.csv
42,0,0,N,,1.0802475519755060e-01,4.1624716867500333e-01,4.3003610681598287e-01,3.207666e-09,5.940540e-12,1.000000,1.4898570271996622e-01,4.0858562849890068e-01,15000,16,1,1.0,1,0.01,16,0,2.5,284.2,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf2.5.pt,2.5,warm_start_scan_xi0_xf2.5.csv
